q301,q302,q303_1,q303_10,q303_11,q303_2,q303_3,q303_4,q303_5,q303_6,q303_7,q303_8,q303_9,q308a,q308b,q308c,q308d,q308e,q309a,q309b,q316,q317,q318a,q320a,q320c,q320d,q321a,q321b,q321c,q321d,q321e,q321f,q322a,q322b,q322c,q322c_new,q322d_new,q322f,q324a,q324b,q324c,q324d,q325a,q325b,q325c,q325d,q325e_new,q325f_new,q326,q327a,q327c,q327d,q327e,q328b,q328d,q328e,q328f,q331a,q331b,q331c,q332a,q332b,q332c,q332e,q334A,q334B,q334C,q334D,q334E,q334F,q335,q401,q414A,q414B,q414C,q414D,q414E,q415a,q415b,q415c,q415d,q416,q417_a,q417_b,q417_c,q417_d,q417_e,q417a_1,q417a_2,q417a_3,q417a_4,q417a_5,q417a_6,q417a_7,q417a_8,q418a,q422a,q422b,q422c,q422d,q422e,q422f,q422g,q422h,q426_1,q426_2,q426_3,q426_4,q426_5,q427_a,q427_b,q427_c,q427_d,qapp_dtrmp,children,edloan,educ,employ,gender,hadjob,hispanic,ideo5,immstat,income,industryclass,investor,marstat,metro,newsint,ownhome,pew_bornagain,pew_churatd,pew_prayer,pew_religimp,pid3,pid7,race,religion,sexuality,trans,union,urbancity,votereg,age,health_ins,military,abbr,state,dem_agree,gop_agree,econ,social,inc3,st_type,fname,lname,loc,cutout
1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,7,7,7,1,5,6,2,5,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,3,4,2,5,1,4,4,2,5,3,1,1,2,3,2,4,4,1,2,2,3,2,2,,2,5,5,11,22,1,1,LEXINGTON,1,1,1,1,1,1,2,7,1,1,1,2,3,4,1,81,medicare,family_veteran,KY,Kentucky,0.234375,0.671875,0.37142857142857144,0.5357142857142857,$$,red,Stephanie,Bean,"Lexington, Kentucky",d
2,3,2,2,1,2,2,2,2,2,2,2,2,1,4,4,3,4,4,4,1,1,1,1,1,2,1,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,1,2,1,1,1,1,1,1,4,5,7,1,7,4,2,5,1,1,2,1,1,2,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,5,5,1,5,1,4,4,1,5,1,2,1,4,2,2,4,4,1,2,2,2,1,2,,2,3,4,8,5,1,1,ALBUQUERQUE-SANTA FE,2,1,2,5,1,1,1,2,1,5,1,2,2,2,1,61,employer,no,NM,New Mexico,0.390625,0.484375,0.2571428571428571,0.10714285714285714,$$,purple,Betty,Greene,a suburb of Albuquerque,h
5,3,2,1,2,2,2,2,2,2,2,2,2,4,3,4,2,3,1,4,1,2,5,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,4,2,7,1,7,7,1,5,2,1,2,1,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,4,3,3,2,5,3,2,5,3,3,2,3,3,2,3,3,4,2,2,2,1,2,,2,3,5,6,22,2,1,SACRAMNTO-STKTON-MODESTO,1,1,2,3,3,1,2,6,3,2,1,2,1,3,1,56,employer,no,CA,California,0.5625,0.375,0.17142857142857143,-0.5357142857142857,$$,blue,Mary,Villanueva,"Sacramnto, California",k
3,3,2,2,2,2,2,2,2,2,2,2,2,4,4,3,4,4,1,1,1,2,0,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,3,8,2,7,6,1,5,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,2,4,4,3,3,2,2,4,3,2,2,3,1,1,1,3,3,4,1,2,6,1,1,,2,2,5,13,18,1,1,BUFFALO,1,1,2,4,5,3,3,3,1,10,1,2,1,2,1,47,employer,no,NY,New York,0.796875,0.1875,-0.5142857142857142,-0.8214285714285714,$$$,blue,David,Savage,a suburb of Buffalo,Q
4,3,2,2,2,2,2,2,2,2,1,2,2,4,4,4,4,4,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,1,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,4,6,5,3,6,6,1,5,1,1,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,4,5,5,2,3,1,3,5,3,2,3,3,2,4,4,3,4,4,2,2,3,1,1,,2,3,5,7,22,2,1,"\""ALBANY",1,3,1,1,1,1,1,1,1,1,1,2,3,4,1,60,purchased,no,GA,Georgia,0.625,0.375,-0.34285714285714286,0.07142857142857142,$$,red,David,Pierce,"Albany, Georgia",D
3,4,2,2,2,2,2,2,2,2,2,2,2,4,4,2,3,4,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,6,8,5,7,5,2,5,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,1,2,2,2,1,5,2,2,3,1,1,5,2,1,1,5,1,3,5,5,5,4,2,2,6,7,2,1,2,2,5,12,18,2,1,FT. WAYNE,1,1,2,6,3,4,3,3,1,11,1,2,3,2,1,52,employer,no,IN,Indiana,0.84375,0.15625,-0.5428571428571428,-0.6428571428571429,$$$,red,Betty,Chambers,a suburb of Ft Wayne,j
2,3,2,1,2,2,2,2,2,2,2,2,2,2,3,2,4,3,1,1,1,1,2,1,2,1,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,6,1,4,1,6,4,2,5,2,2,2,2,1,2,1,2,2,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,4,2,3,5,2,2,5,3,4,4,4,4,2,3,2,4,2,2,2,2,6,1,1,,2,4,4,11,6,1,1,HARRISBURG-LNCSTR-LEB-YORK,1,1,1,2,1,1,2,7,1,1,1,2,3,2,1,58,employer,family_veteran,PA,Pennsylvania,0.1875,0.734375,0.6857142857142857,0.32142857142857145,$$,purple,Ryan,Monroe,a suburb of Harrisburg,M
4,5,2,2,2,1,2,2,2,2,2,2,2,4,2,2,3,2,4,4,3,,1,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,4,3,8,6,2,8,1,5,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,2,2,1,1,1,2,2,3,3,2,2,4,2,1,3,1,1,1,2,2,2,1,2,2,3,0,1,4,4,1,1,2,4,5,1,23,2,5,"\""COLUMBIA",2,1,2,2,4,1,3,3,6,2,1,2,2,2,2,30,no,no,SC,South Carolina,0.484375,0.46875,0.14285714285714285,-0.5357142857142857,$,red,Henry,Summers,a suburb of Columbia,L
3,3,2,2,2,2,2,2,2,2,2,2,2,5,5,5,2,5,1,1,1,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,1,2,1,,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,3,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,4,4,2,3,2,2,5,1,1,1,1,1,3,3,3,5,5,0,2,1,5,1,2,2,6,5,1,7,2,5,CHICAGO,2,2,2,2,3,2,1,2,2,1,1,2,3,1,1,67,no,family_veteran,IL,Illinois,0.6031746031746031,0.47619047619047616,0.2,-0.6428571428571429,$,blue,Jeremy,Norman,Chicago,Q
2,2,2,1,1,2,2,2,2,2,1,1,2,1,2,2,1,2,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,2,1,6,7,7,1,7,6,2,5,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,3,2,2,2,2,4,5,2,3,2,2,2,3,3,4,3,4,1,2,1,2,1,1,,2,4,5,6,22,2,6,TYLER-LONGVIEW(LFKN&NCGD),2,1,2,5,3,2,2,7,1,1,1,2,3,4,1,25,no,no,TX,Texas,0.421875,0.65625,0.05714285714285714,0.2857142857142857,$$,red,David,Carson,"Tyler, Texas",J
3,3,2,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,1,1,1,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,4,7,7,2,7,7,1,5,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,2,1,1,2,1,2,2,2,4,4,2,3,3,2,4,3,1,1,2,1,4,4,4,4,4,0,2,2,1,1,,2,3,5,3,19,2,5,MEMPHIS,2,2,2,1,2,2,3,3,2,11,1,2,3,1,1,44,purchased,family_veteran,AR,Arkansas,0.796875,0.21875,-0.42857142857142855,-0.7857142857142857,$,red,Anthony,Brady,"Memphis, Arkansas",H
2,3,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,6,1,6,5,2,5,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,3,2,3,4,1,4,5,2,5,3,3,2,1,4,3,4,3,1,1,2,6,5,1,1,2,5,5,5,11,1,1,TUCSON (SIERRA VISTA),2,1,1,1,1,1,2,7,1,1,1,2,3,1,1,60,purchased,no,AZ,Arizona,0.171875,0.796875,0.6857142857142857,0.6428571428571429,$$,red,Adam,Hurst,"Tucson, Arizona",I
4,4,2,2,2,2,2,1,2,2,2,2,2,4,4,4,4,4,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,4,6,8,3,8,6,1,5,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,3,5,3,3,4,4,4,3,2,1,2,1,1,5,2,4,4,4,2,2,5,5,2,1,2,2,5,6,16,1,3,TULSA,1,1,2,4,3,2,1,1,1,2,1,2,2,4,1,59,employer,veteran,OK,Oklahoma,0.734375,0.296875,-0.34285714285714286,-0.6428571428571429,$$,red,Marie,Navarro,"Tulsa, Oklahoma",e
2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,5,4,5,1,1,2,,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,2,1,1,2,2,1,2,1,2,2,2,2,2,1,1,2,2,3,6,7,1,7,8,1,5,1,1,1,2,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,5,3,4,4,1,2,4,3,1,2,3,2,3,3,4,3,3,0,2,2,2,1,,2,2,1,7,22,2,5,PEORIA-BLOOMINGTON,2,1,2,6,7,4,1,2,2,9,1,2,3,2,1,19,school,no,IL,Illinois,0.703125,0.3125,-0.42857142857142855,-0.2857142857142857,$$,blue,Robert,Hale,a suburb of Peoria,B
3,3,2,2,2,2,2,2,2,2,2,2,2,4,4,3,4,4,1,1,1,3,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,2,2,3,3,8,1,7,6,1,5,1,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,5,4,2,3,1,2,4,3,2,1,3,1,3,3,4,3,4,1,1,4,1,2,,2,2,5,5,22,2,1,CHATTANOOGA,3,1,2,6,7,4,3,3,1,11,4,2,3,4,1,28,employer,family_veteran,TN,Tennessee,0.765625,0.265625,-0.2571428571428571,-0.7142857142857143,$$,red,Nicole,Walsh,"Chattanooga, Tennessee",a
4,2,2,2,2,2,2,2,2,2,2,1,2,4,3,3,2,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,5,7,3,6,6,1,5,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,4,5,3,1,2,2,2,5,1,1,2,2,2,2,2,3,3,4,0,2,3,6,2,1,2,1,4,3,19,2,5,,1,2,2,5,3,2,1,1,1,5,1,2,3,2,1,55,medicaid,no,VT,Vermont,0.828125,0.171875,-0.6,-0.7857142857142857,$,blue,Emma,Flowers,a suburb in Vermont,k
4,5,2,2,1,2,2,2,2,2,2,2,2,4,4,5,4,5,4,4,1,2,4,1,1,2,1,1,1,1,2,2,2,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2,2,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,7,7,2,7,8,1,5,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,5,3,3,4,1,1,4,2,1,1,1,2,4,3,3,3,4,1,2,2,2,2,,2,2,5,2,9,2,5,MERIDIAN,2,3,2,3,1,1,1,1,2,1,1,2,3,1,1,51,no,no,MS,Mississippi,0.6875,0.359375,-0.3142857142857143,-0.32142857142857145,$,red,Judy,Pitts,"Meridian, Mississippi",c
2,2,2,2,1,2,2,2,2,2,2,2,2,1,3,2,3,3,1,1,1,1,2,2,2,1,2,2,1,2,1,1,1,2,1,1,2,1,1,1,2,2,1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,7,4,6,1,4,4,2,5,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,5,1,2,5,1,5,5,1,4,4,5,5,2,3,3,4,4,1,1,2,4,1,2,,2,5,5,4,9,2,1,FLINT-SAGINAW-BAY CITY,1,2,1,5,3,1,4,4,1,1,1,2,3,2,1,58,no,family_veteran,MI,Michigan,0.203125,0.703125,0.5714285714285714,0.6071428571428571,$,blue,Patricia,Arnold,a suburb of Flint,r
1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,2,2,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,7,6,6,1,7,6,2,5,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2,5,1,1,5,1,5,5,1,5,5,3,1,1,3,2,5,4,1,1,2,3,1,1,,2,5,5,8,22,1,1,FT. WAYNE,1,1,1,3,1,2,2,7,1,1,1,2,3,4,1,31,employer,veteran,IN,Indiana,0.15625,0.703125,0.6571428571428571,0.6071428571428571,$$,red,John,Schroeder,"Ft Wayne, Indiana",E
3,2,2,1,2,1,2,2,2,2,1,2,2,4,3,4,4,3,4,4,1,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,8,7,2,7,5,1,5,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,5,5,1,5,1,1,5,1,1,1,5,1,2,5,3,3,4,0,2,5,1,1,,2,1,4,8,16,2,5,NASHVILLE,2,2,2,6,7,4,4,3,1,10,1,2,3,2,1,25,employer,no,TN,Tennessee,0.859375,0.1875,-0.45714285714285713,-0.7857142857142857,$$,red,Edward,Friedman,a suburb of Nashville,C
5,5,2,1,2,2,2,2,2,2,2,2,2,4,2,3,2,2,2,2,1,2,4,1,2,2,1,1,1,2,1,1,2,1,2,1,2,1,2,2,2,1,2,2,1,1,1,2,2,1,1,2,2,1,1,2,2,2,1,1,1,1,1,2,4,3,2,3,2,1,1,5,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,4,3,1,2,3,3,1,3,1,2,1,2,1,1,2,1,4,2,2,1,5,2,2,2,5,4,3,10,2,1,LOS ANGELES,1,2,1,5,1,1,1,1,3,1,1,2,2,2,1,70,medicare,no,CA,California,0.484375,0.4375,-0.05714285714285714,0.10714285714285714,$,blue,Anna,Quintero,a suburb of Los Angeles,b
3,3,2,1,2,2,2,2,2,2,2,2,2,3,4,5,3,4,4,4,1,3,0,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,1,1,1,2,1,1,2,1,2,2,1,5,8,3,1,3,8,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,5,4,2,4,2,5,4,5,1,1,1,1,2,2,4,3,3,3,2,2,3,6,2,2,2,4,5,1,,2,3,INDIANAPOLIS,2,2,2,5,1,2,3,4,1,1,1,2,3,1,1,53,medicaid,no,IN,Indiana,0.5,0.515625,-0.2857142857142857,0,$,red,Victoria,McGee,"Indianapolis, Indiana",d
1,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,4,4,1,1,1,1,2,2,2,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,7,1,4,1,5,2,2,5,2,2,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,3,1,5,1,5,1,2,5,3,3,3,1,3,1,3,3,1,5,2,3,1,1,,2,5,4,7,22,2,1,"\""ROCHESTER",1,1,1,4,2,1,4,5,1,11,1,2,2,4,1,64,employer,veteran,NY,New York,0.171875,0.796875,0.7142857142857143,0.7857142857142857,$$,blue,Jonathan,O'Brien,"Rochester, New York",F
2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,2,2,1,1,3,5,1,1,2,1,2,1,2,1,2,2,1,2,2,2,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,2,1,2,1,1,2,1,1,6,2,6,2,3,2,3,5,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,1,1,2,2,2,5,1,3,4,1,3,4,2,2,2,3,2,2,2,2,3,2,2,2,2,1,1,,2,3,3,8,22,1,6,LOS ANGELES,3,2,2,6,7,4,3,3,3,10,1,2,3,2,1,26,purchased,no,CA,California,0.53125,0.421875,0.2,-0.39285714285714285,$$,blue,John,Palacios,a suburb of Los Angeles,G
2,2,2,2,1,2,2,2,2,1,2,2,2,2,3,3,4,2,1,1,3,,0,2,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,7,2,4,1,4,4,2,5,2,2,2,1,2,2,1,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,5,4,2,5,1,5,5,3,5,5,5,1,4,5,4,3,3,4,1,1,5,1,1,,2,5,5,5,14,1,1,RALEIGH-DURHAM (FAYETVLLE),1,1,1,1,1,1,3,4,7,1,1,2,3,1,1,39,employer,family_veteran,NC,North Carolina,0.125,0.71875,0.7142857142857143,0.5714285714285714,$$,purple,Daniel,Palmer,"Raleigh, North Carolina",Z
5,3,2,2,2,2,2,2,2,2,1,2,2,4,3,3,4,5,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,1,2,1,1,2,1,2,2,1,1,1,2,2,2,2,1,7,7,1,7,7,1,5,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,5,5,1,5,1,1,5,3,1,1,1,2,3,3,4,3,4,1,2,3,1,2,,2,1,5,8,16,2,5,DETROIT,2,1,1,3,1,1,1,1,2,2,1,2,2,2,1,33,no,family_veteran,MI,Michigan,0.796875,0.21875,-0.4,-0.6428571428571429,$$,blue,Teresa,Hurley,a suburb of Detroit,o
3,2,2,2,2,2,2,2,2,2,1,2,2,4,4,4,4,2,2,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,4,8,7,2,6,5,1,5,2,1,1,2,1,1,2,1,1,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,1,5,2,3,5,1,1,5,3,2,2,4,2,2,2,2,2,4,0,2,4,1,1,,2,3,5,4,14,1,5,TALLAHASSEE-THOMASVILLE,1,2,1,1,2,1,1,2,2,11,1,2,3,1,1,33,employer,family_veteran,FL,Florida,0.625,0.4375,-0.2857142857142857,0.17857142857142858,$,purple,Christian,Hart,"Tallahassee, Florida",I
2,3,2,1,2,2,2,2,2,2,2,2,2,4,4,3,4,4,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,7,7,5,7,6,3,5,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,5,5,1,5,1,1,5,1,1,1,4,1,4,3,4,3,4,0,2,3,1,1,,2,1,4,10,22,1,5,FT. SMITH-FAY-SPRNGDL-RGRS,1,1,2,6,7,4,3,3,1,9,3,2,3,4,1,34,no,family_veteran,OK,Oklahoma,0.90625,0.109375,-0.6,-0.8571428571428571,$$,red,John,Singleton,"Ft Smith, Oklahoma",B
2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,0,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,7,6,6,1,6,5,2,3,2,1,1,2,1,,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,4,2,2,2,1,5,5,2,4,3,1,2,2,3,3,4,3,2,3,2,2,1,1,,2,4,5,11,6,1,1,BIRMINGHAM (ANN AND TUSC),2,1,1,3,2,1,2,7,1,1,1,2,3,2,1,31,purchased,no,AL,Alabama,0.3333333333333333,0.6190476190476191,0,0.42857142857142855,$$,red,Joshua,Baxter,a suburb of Birmingham,B
2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,,0,1,1,1,2,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,6,7,1,7,4,2,,1,2,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,4,5,2,4,1,5,3,1,3,3,3,3,3,2,2,3,3,1,0,2,2,1,2,,2,4,5,2,19,2,5,MEMPHIS,2,1,1,5,2,2,1,2,2,1,1,2,3,1,2,55,no,family_veteran,TN,Tennessee,0.546875,0.5,0,0.21428571428571427,$,red,Brenda,Booker,"Memphis, Tennessee",g
2,4,2,2,2,2,2,2,2,2,1,2,2,4,4,3,1,3,1,1,1,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,1,1,2,1,2,1,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,3,7,3,7,6,1,5,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,4,4,2,3,2,2,3,3,2,3,3,2,1,2,2,2,4,0,2,5,8,1,1,2,2,5,4,18,1,5,"\""WASHINGTON",1,2,2,5,7,4,1,1,6,10,1,2,3,1,1,25,no,family_serving,VA,Virginia,0.8125,0.234375,-0.7428571428571429,-0.5357142857142857,$,purple,Jason,Kim,"Washington, DC",J
4,3,2,2,2,2,2,2,2,2,2,2,2,3,4,3,1,2,4,4,1,3,3,1,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,1,5,2,1,2,2,1,1,1,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,5,5,1,5,1,5,5,1,3,2,3,1,1,3,3,4,4,4,0,2,3,6,2,1,2,3,5,6,16,2,1,,3,1,2,6,6,3,3,4,1,11,1,2,2,3,1,60,employer,veteran,MA,Massachusetts,0.5625,0.4375,-0.14285714285714285,0.07142857142857142,$$,blue,Donna,Bond,a town in Massachusetts,i
3,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,5,5,4,4,1,2,4,1,1,2,2,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,2,2,5,8,7,5,7,7,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,3,4,,1,2,3,4,4,3,3,3,2,2,3,3,4,3,4,6,2,2,5,2,2,2,4,4,4,16,2,4,SEATTLE-TACOMA,1,2,2,6,1,1,3,3,1,12,1,2,2,2,1,81,medicare,family_veteran,WA,Washington,0.4444444444444444,0.5714285714285714,0.05714285714285714,0.10714285714285714,$,blue,Margaret,Dean,a suburb of Seattle,n
6,3,2,1,1,2,2,2,2,2,2,2,2,4,4,5,2,4,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,4,5,6,3,6,5,1,5,1,1,1,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,5,4,2,4,1,3,4,3,2,2,3,2,2,2,3,3,4,0,1,6,1,2,,2,3,5,5,23,1,5,KANSAS CITY,2,1,1,1,1,2,1,2,1,1,1,2,3,2,1,34,employer,no,MO,Missouri,0.734375,0.25,-0.2857142857142857,-0.35714285714285715,$$,red,Ann,McCullough,a suburb of Kansas City,j
4,2,2,1,2,2,2,2,1,2,2,2,2,4,3,3,3,3,4,4,1,2,5,1,1,2,1,2,2,2,2,2,1,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,1,1,1,2,2,1,1,1,2,1,1,1,2,2,2,2,1,8,6,2,6,6,1,5,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,,5,4,2,4,2,3,2,2,2,2,2,2,3,3,3,4,4,1,4,2,2,,1,2,5,12,19,2,1,LOS ANGELES,2,1,2,6,2,2,1,1,1,7,1,2,3,1,1,42,no,family_veteran,CA,California,0.6190476190476191,0.36507936507936506,-0.34285714285714286,-0.10714285714285714,$$$,blue,Jennifer,Freeman,Los Angeles,d
2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1,3,0,1,2,2,1,2,1,2,2,2,2,1,1,2,2,1,2,2,1,2,2,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,4,6,6,1,7,5,3,5,1,1,1,1,2,1,2,2,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,4,4,5,4,5,5,5,5,2,1,1,1,2,1,1,3,2,1,0,1,4,1,2,,2,3,5,7,8,2,1,FT. SMITH-FAY-SPRNGDL-RGRS,2,1,2,5,6,4,3,3,1,11,1,2,3,2,1,29,employer,no,AR,Arkansas,0.546875,0.40625,-0.2857142857142857,-0.5,$$,red,Karen,Black,a suburb of Ft Smith,o
