q301,q302,q303_1,q303_10,q303_11,q303_2,q303_3,q303_4,q303_5,q303_6,q303_7,q303_8,q303_9,q308a,q308b,q308c,q308d,q308e,q309a,q309b,q316,q317,q318a,q320a,q320c,q320d,q321a,q321b,q321c,q321d,q321e,q321f,q322a,q322b,q322c,q322c_new,q322d_new,q322f,q324a,q324b,q324c,q324d,q325a,q325b,q325c,q325d,q325e_new,q325f_new,q326,q327a,q327c,q327d,q327e,q328b,q328d,q328e,q328f,q331a,q331b,q331c,q332a,q332b,q332c,q332e,q334A,q334B,q334C,q334D,q334E,q334F,q335,q401,q414A,q414B,q414C,q414D,q414E,q415a,q415b,q415c,q415d,q416,q417_a,q417_b,q417_c,q417_d,q417_e,q417a_1,q417a_2,q417a_3,q417a_4,q417a_5,q417a_6,q417a_7,q417a_8,q418a,q422a,q422b,q422c,q422d,q422e,q422f,q422g,q422h,q426_1,q426_2,q426_3,q426_4,q426_5,q427_a,q427_b,q427_c,q427_d,qapp_dtrmp,children,edloan,educ,employ,gender,hadjob,hispanic,ideo5,immstat,income,industryclass,investor,marstat,metro,newsint,ownhome,pew_bornagain,pew_churatd,pew_prayer,pew_religimp,pid3,pid7,race,religion,sexuality,trans,union,urbancity,votereg,age,health_ins,military,abbr,state,dem_agree,gop_agree,econ,social,inc3,st_type,fname,lname,loc,cutout
6,3,2,2,2,2,2,2,2,2,2,2,2,3,5,5,2,2,1,4,1,2,0,1,1,1,2,1,1,2,2,1,2,2,1,1,2,2,2,1,2,1,2,1,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,2,2,2,1,2,4,8,6,2,6,4,3,5,1,1,2,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,5,5,3,4,2,1,4,3,3,1,3,2,2,3,3,3,3,0,2,2,4,1,2,2,3,5,1,,2,5,AUGUSTA-AIKEN,2,2,2,6,7,4,3,4,2,11,1,2,3,1,1,22,no,no,GA,Georgia,0.59375,0.40625,-0.2,0.07142857142857142,$,red,David,Richard,"Augusta, Georgia",J
3,3,2,2,1,2,2,2,2,2,2,2,2,2,3,5,3,3,1,1,2,,4,1,1,2,2,1,2,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1,2,1,1,1,2,2,6,8,5,1,7,5,2,2,2,1,2,1,1,2,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,3,3,3,2,2,3,3,1,1,1,2,3,3,4,3,2,0,2,5,1,1,,2,4,5,3,9,1,5,JOPLIN-PITTSBURG,4,1,2,5,6,2,2,7,1,11,1,2,3,3,1,34,employer,no,KS,Kansas,0.40625,0.453125,0,0,$,red,Jordan,Banks,"Joplin, Kansas",C
4,4,2,2,2,2,2,2,2,2,2,1,2,4,5,5,5,5,4,4,2,,0,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,1,2,2,1,2,1,1,2,2,1,1,1,2,2,2,4,8,3,8,8,8,3,,1,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,3,2,3,3,2,4,2,3,4,3,3,4,3,3,3,0,2,3,8,2,1,2,6,5,1,22,2,5,SPOKANE,4,2,2,4,3,2,5,4,1,12,1,2,3,4,2,26,employer,no,WA,Washington,0.515625,0.453125,0.22857142857142856,-0.32142857142857145,$,blue,Lisa,Stanton,"Spokane, Washington",f
3,3,2,2,2,2,2,2,2,2,2,2,2,4,4,2,4,4,1,1,1,2,1,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,3,7,7,2,7,4,1,5,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,1,5,5,1,5,1,1,5,2,1,1,3,3,3,2,3,4,4,4,2,6,5,2,1,2,2,5,7,18,1,1,MILWAUKEE,1,1,2,2,1,1,1,2,1,3,1,2,2,1,1,65,employer,family_veteran,WI,Wisconsin,0.828125,0.21875,-0.6857142857142857,-0.2857142857142857,$$,purple,Sandra,Sawyer,"Milwaukee, Wisconsin",o
2,1,2,2,1,2,2,2,2,2,2,2,2,2,3,5,5,5,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,2,6,3,5,1,4,4,2,5,1,2,1,1,1,2,1,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,1,2,4,2,2,5,2,5,5,2,4,3,2,3,3,4,2,3,3,2,1,1,5,1,1,,2,4,5,9,19,1,1,RALEIGH-DURHAM (FAYETVLLE),1,1,2,4,3,1,3,5,1,1,1,2,3,2,1,35,employer,family_veteran,NC,North Carolina,0.296875,0.671875,0.37142857142857144,0.42857142857142855,$$,purple,Robert,Shaw,a suburb of Raleigh,A
2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,3,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,2,1,4,5,6,1,6,5,2,5,1,2,2,2,2,2,1,1,2,1,2,1,2,1,1,2,1,2,1,2,2,2,2,2,2,1,2,3,1,2,2,2,3,2,3,2,2,2,2,2,2,1,0,1,5,2,1,,2,3,5,12,9,1,5,DALLAS-FT. WORTH,1,1,2,2,2,1,1,2,2,1,1,2,3,4,1,29,medicaid,no,TX,Texas,0.421875,0.578125,0.11428571428571428,0.25,$$$,red,Christopher,Burton,"Dallas, Texas",E
1,1,1,2,1,2,1,2,2,2,1,2,2,1,2,2,4,4,1,1,1,1,5,1,2,1,1,2,1,1,1,2,1,2,1,1,2,2,1,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,6,1,6,1,6,4,2,5,2,2,2,1,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,4,2,5,4,2,5,4,1,1,3,4,3,3,4,1,0,2,6,1,1,,2,4,5,13,22,1,1,LOS ANGELES,1,1,2,5,3,2,2,6,1,10,1,2,3,2,1,30,employer,no,CA,California,0.21875,0.703125,0.6571428571428571,0.42857142857142855,$$$,blue,Ethan,Webb,a suburb of Los Angeles,S
3,3,2,2,2,2,2,2,2,2,2,2,2,4,4,3,2,3,1,1,1,2,0,1,1,1,1,2,2,2,1,2,2,1,1,1,2,1,2,2,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,3,5,7,2,7,5,1,5,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,2,3,3,3,3,3,3,2,2,2,3,1,2,2,2,4,1,2,4,1,1,,2,2,1,13,11,1,1,MIAMI-FT. LAUDERDALE,3,1,2,5,2,2,1,2,4,6,1,2,3,2,1,43,employer,no,FL,Florida,0.609375,0.296875,-0.5142857142857142,-0.2857142857142857,$$$,purple,Gregory,Gonzales,a suburb of Miami,M
2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,1,1,1,1,0,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,2,1,2,2,1,2,2,1,2,1,2,1,2,2,1,2,2,6,8,5,2,5,5,3,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,4,3,2,3,4,2,2,3,3,2,2,2,3,2,3,2,3,2,2,5,1,1,,2,4,5,7,22,2,1,CHARLOTTE,2,1,1,1,1,1,2,6,1,1,1,3,3,2,1,72,medicare,family_veteran,SC,South Carolina,0.53125,0.5,0.2571428571428571,-0.2857142857142857,$$,red,Carl,McKee,a suburb of Charlotte,H
2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,1,1,1,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,6,2,4,2,4,4,2,5,2,1,2,1,1,2,2,1,2,1,2,1,1,1,1,2,2,2,2,2,2,1,2,2,5,4,1,1,1,4,5,1,5,3,2,2,2,3,3,3,3,1,2,2,3,1,1,,2,4,5,10,22,1,1,PITTSBURGH,1,1,1,2,1,1,2,7,1,1,1,2,3,3,1,59,employer,no,PA,Pennsylvania,0.328125,0.59375,-0.02857142857142857,0.5,$$,purple,Robert,Randolph,"Pittsburgh, Pennsylvania",Q
